video_id,split,label,is_anomaly,video_score,n_segments,k_used
Normal_Videos094_x264,test,NormalVideos,0,0.2775295674800873,10,1
Normal_Videos104_x264,validation,NormalVideos,0,0.2775295674800873,4,1
Normal_Videos105_x264,test,NormalVideos,0,0.2775295674800873,4,1
Normal_Videos118_x264,validation,NormalVideos,0,0.2775295674800873,5,1
Normal_Videos123_x264,validation,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos127_x264,test,NormalVideos,0,0.2775228023529053,11,2
Normal_Videos128_x264,validation,NormalVideos,0,0.2775228023529053,11,2
Normal_Videos153_x264,validation,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos197_x264,test,NormalVideos,0,0.2775228023529053,15,2
Normal_Videos231_x264,test,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos272_x264,test,NormalVideos,0,0.2775228023529053,18,2
Normal_Videos277_x264,test,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos311_x264,validation,NormalVideos,0,0.2775228023529053,15,2
Normal_Videos327_x264,test,NormalVideos,0,0.2775295674800873,10,1
Normal_Videos339_x264,test,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos343_x264,validation,NormalVideos,0,0.2775295674800873,5,1
Normal_Videos391_x264,validation,NormalVideos,0,0.27838289737701416,30,3
Normal_Videos399_x264,validation,NormalVideos,0,0.2769371767838796,21,3
Normal_Videos415_x264,validation,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos419_x264,test,NormalVideos,0,0.2775295674800873,7,1
Normal_Videos422_x264,test,NormalVideos,0,0.2775295674800873,10,1
Normal_Videos428_x264,test,NormalVideos,0,0.2775295674800873,5,1
Normal_Videos436_x264,validation,NormalVideos,0,0.2775228023529053,13,2
Normal_Videos438_x264,validation,NormalVideos,0,0.2730002999305725,3,1
Normal_Videos517_x264,test,NormalVideos,0,0.27838289737701416,28,3
Normal_Videos523_x264,validation,NormalVideos,0,0.2730002999305725,2,1
Normal_Videos605_x264,validation,NormalVideos,0,0.2769371767838796,23,3
Normal_Videos623_x264,validation,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos651_x264,test,NormalVideos,0,0.2775295674800873,7,1
Normal_Videos679_x264,validation,NormalVideos,0,0.2772887110710144,44,5
Normal_Videos695_x264,test,NormalVideos,0,0.2777286544442177,40,4
Normal_Videos708_x264,validation,NormalVideos,0,0.2775228023529053,17,2
Normal_Videos716_x264,test,NormalVideos,0,0.2772887110710144,50,5
Normal_Videos747_x264,test,NormalVideos,0,0.2775228023529053,11,2
Normal_Videos797_x264,test,NormalVideos,0,0.2775228023529053,17,2
Normal_Videos825_x264,validation,NormalVideos,0,0.2775295674800873,10,1
Normal_Videos861_x264,validation,NormalVideos,0,0.2775295674800873,9,1
Normal_Videos921_x264,test,NormalVideos,0,0.2775295674800873,10,1
RoadAccidents040_x264,validation,RoadAccidents,1,0.2775228023529053,12,2
RoadAccidents049_x264,test,RoadAccidents,1,0.2775295674800873,4,1
RoadAccidents060_x264,validation,RoadAccidents,1,0.2775295674800873,5,1
RoadAccidents100_x264,validation,RoadAccidents,1,0.2730002999305725,3,1
RoadAccidents104_x264,test,RoadAccidents,1,0.2777286544442177,35,4
RoadAccidents144_x264,test,RoadAccidents,1,0.2775295674800873,5,1
Robbery019_x264,validation,Robbery,1,0.2777286544442177,36,4
Robbery042_x264,test,Robbery,1,0.2775228023529053,13,2
Robbery044_x264,validation,Robbery,1,0.2730002999305725,2,1
Robbery065_x264,test,Robbery,1,0.2775228023529053,15,2
Robbery123_x264,test,Robbery,1,0.2775295674800873,6,1
Robbery142_x264,validation,Robbery,1,0.2775228023529053,15,2
Shooting017_x264,test,Shooting,1,0.2775295674800873,5,1
Shooting020_x264,validation,Shooting,1,0.2777286544442177,31,4
Shooting029_x264,validation,Shooting,1,0.2775295674800873,8,1
Shooting039_x264,test,Shooting,1,0.2775295674800873,5,1
Shooting042_x264,validation,Shooting,1,0.2775295674800873,9,1
Shooting050_x264,test,Shooting,1,0.2769371767838796,23,3
Shoplifting006_x264,test,Shoplifting,1,0.2775228023529053,19,2
Shoplifting025_x264,validation,Shoplifting,1,0.2775228023529053,11,2
Shoplifting047_x264,validation,Shoplifting,1,0.2775228023529053,14,2
Shoplifting051_x264,test,Shoplifting,1,0.2772887110710144,45,5
Shoplifting052_x264,test,Shoplifting,1,0.2772887110710144,47,5
Shoplifting053_x264,validation,Shoplifting,1,0.2775228023529053,13,2
Stealing007_x264,validation,Stealing,1,0.2775228023529053,19,2
Stealing011_x264,test,Stealing,1,0.2769371767838796,23,3
Stealing035_x264,validation,Stealing,1,0.2772887110710144,50,5
Stealing045_x264,test,Stealing,1,0.2772887110710144,50,5
Stealing051_x264,validation,Stealing,1,0.2775228023529053,20,2
Stealing066_x264,test,Stealing,1,0.2775295674800873,8,1
Vandalism016_x264,validation,Vandalism,1,0.2777286544442177,36,4
Vandalism024_x264,validation,Vandalism,1,0.2775295674800873,6,1
Vandalism030_x264,test,Vandalism,1,0.2775295674800873,9,1
Vandalism037_x264,test,Vandalism,1,0.2775228023529053,18,2
Vandalism042_x264,validation,Vandalism,1,0.2769371767838796,22,3
Vandalism050_x264,test,Vandalism,1,0.2775295674800873,5,1
