segment_uid,split,class,video_id,segment_id,num_frames,segment_path
train_Arrest_Arrest003_x264_seg_0014,train,Arrest,Arrest003_x264,seg_0014,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0014
train_Arrest_Arrest003_x264_seg_0015,train,Arrest,Arrest003_x264,seg_0015,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0015
train_Arrest_Arrest003_x264_seg_0016,train,Arrest,Arrest003_x264,seg_0016,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0016
train_Arrest_Arrest003_x264_seg_0017,train,Arrest,Arrest003_x264,seg_0017,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0017
train_Arrest_Arrest003_x264_seg_0018,train,Arrest,Arrest003_x264,seg_0018,16,/content/data/segments_16/train/Arrest/Arrest003_x264/seg_0018
train_Arson_Arson001_x264_seg_0000,train,Arson,Arson001_x264,seg_0000,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0000
train_Arson_Arson001_x264_seg_0001,train,Arson,Arson001_x264,seg_0001,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0001
train_Arson_Arson001_x264_seg_0002,train,Arson,Arson001_x264,seg_0002,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0002
train_Arson_Arson001_x264_seg_0003,train,Arson,Arson001_x264,seg_0003,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0003
train_Arson_Arson001_x264_seg_0004,train,Arson,Arson001_x264,seg_0004,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0004
train_Arson_Arson001_x264_seg_0005,train,Arson,Arson001_x264,seg_0005,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0005
train_Arson_Arson001_x264_seg_0006,train,Arson,Arson001_x264,seg_0006,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0006
train_Arson_Arson001_x264_seg_0007,train,Arson,Arson001_x264,seg_0007,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0007
train_Arson_Arson001_x264_seg_0008,train,Arson,Arson001_x264,seg_0008,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0008
train_Arson_Arson001_x264_seg_0009,train,Arson,Arson001_x264,seg_0009,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0009
train_Arson_Arson001_x264_seg_0010,train,Arson,Arson001_x264,seg_0010,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0010
train_Arson_Arson001_x264_seg_0011,train,Arson,Arson001_x264,seg_0011,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0011
train_Arson_Arson001_x264_seg_0012,train,Arson,Arson001_x264,seg_0012,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0012
train_Arson_Arson001_x264_seg_0013,train,Arson,Arson001_x264,seg_0013,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0013
train_Arson_Arson001_x264_seg_0014,train,Arson,Arson001_x264,seg_0014,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0014
train_Arson_Arson001_x264_seg_0015,train,Arson,Arson001_x264,seg_0015,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0015
train_Arson_Arson001_x264_seg_0016,train,Arson,Arson001_x264,seg_0016,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0016
train_Arson_Arson001_x264_seg_0017,train,Arson,Arson001_x264,seg_0017,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0017
train_Arson_Arson001_x264_seg_0018,train,Arson,Arson001_x264,seg_0018,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0018
train_Arson_Arson001_x264_seg_0019,train,Arson,Arson001_x264,seg_0019,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0019
train_Arson_Arson001_x264_seg_0020,train,Arson,Arson001_x264,seg_0020,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0020
train_Arson_Arson001_x264_seg_0021,train,Arson,Arson001_x264,seg_0021,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0021
train_Arson_Arson001_x264_seg_0022,train,Arson,Arson001_x264,seg_0022,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0022
train_Arson_Arson001_x264_seg_0023,train,Arson,Arson001_x264,seg_0023,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0023
train_Arson_Arson001_x264_seg_0024,train,Arson,Arson001_x264,seg_0024,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0024
train_Arson_Arson001_x264_seg_0025,train,Arson,Arson001_x264,seg_0025,16,/content/data/segments_16/train/Arson/Arson001_x264/seg_0025
train_Arson_Arson002_x264_seg_0000,train,Arson,Arson002_x264,seg_0000,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0000
train_Arson_Arson002_x264_seg_0001,train,Arson,Arson002_x264,seg_0001,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0001
train_Arson_Arson002_x264_seg_0002,train,Arson,Arson002_x264,seg_0002,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0002
train_Arson_Arson002_x264_seg_0003,train,Arson,Arson002_x264,seg_0003,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0003
train_Arson_Arson002_x264_seg_0004,train,Arson,Arson002_x264,seg_0004,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0004
train_Arson_Arson002_x264_seg_0005,train,Arson,Arson002_x264,seg_0005,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0005
train_Arson_Arson002_x264_seg_0006,train,Arson,Arson002_x264,seg_0006,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0006
train_Arson_Arson002_x264_seg_0007,train,Arson,Arson002_x264,seg_0007,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0007
train_Arson_Arson002_x264_seg_0008,train,Arson,Arson002_x264,seg_0008,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0008
train_Arson_Arson002_x264_seg_0009,train,Arson,Arson002_x264,seg_0009,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0009
train_Arson_Arson002_x264_seg_0010,train,Arson,Arson002_x264,seg_0010,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0010
train_Arson_Arson002_x264_seg_0011,train,Arson,Arson002_x264,seg_0011,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0011
train_Arson_Arson002_x264_seg_0012,train,Arson,Arson002_x264,seg_0012,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0012
train_Arson_Arson002_x264_seg_0013,train,Arson,Arson002_x264,seg_0013,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0013
train_Arson_Arson002_x264_seg_0014,train,Arson,Arson002_x264,seg_0014,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0014
train_Arson_Arson002_x264_seg_0015,train,Arson,Arson002_x264,seg_0015,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0015
train_Arson_Arson002_x264_seg_0016,train,Arson,Arson002_x264,seg_0016,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0016
train_Arson_Arson002_x264_seg_0017,train,Arson,Arson002_x264,seg_0017,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0017
train_Arson_Arson002_x264_seg_0018,train,Arson,Arson002_x264,seg_0018,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0018
train_Arson_Arson002_x264_seg_0019,train,Arson,Arson002_x264,seg_0019,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0019
train_Arson_Arson002_x264_seg_0020,train,Arson,Arson002_x264,seg_0020,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0020
train_Arson_Arson002_x264_seg_0021,train,Arson,Arson002_x264,seg_0021,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0021
train_Arson_Arson002_x264_seg_0022,train,Arson,Arson002_x264,seg_0022,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0022
train_Arson_Arson002_x264_seg_0023,train,Arson,Arson002_x264,seg_0023,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0023
train_Arson_Arson002_x264_seg_0024,train,Arson,Arson002_x264,seg_0024,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0024
train_Arson_Arson002_x264_seg_0025,train,Arson,Arson002_x264,seg_0025,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0025
train_Arson_Arson002_x264_seg_0026,train,Arson,Arson002_x264,seg_0026,16,/content/data/segments_16/train/Arson/Arson002_x264/seg_0026
train_Assault_Assault001_x264_seg_0000,train,Assault,Assault001_x264,seg_0000,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0000
train_Assault_Assault001_x264_seg_0001,train,Assault,Assault001_x264,seg_0001,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0001
train_Assault_Assault001_x264_seg_0002,train,Assault,Assault001_x264,seg_0002,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0002
train_Assault_Assault001_x264_seg_0003,train,Assault,Assault001_x264,seg_0003,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0003
train_Assault_Assault001_x264_seg_0004,train,Assault,Assault001_x264,seg_0004,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0004
train_Assault_Assault001_x264_seg_0005,train,Assault,Assault001_x264,seg_0005,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0005
train_Assault_Assault001_x264_seg_0006,train,Assault,Assault001_x264,seg_0006,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0006
train_Assault_Assault001_x264_seg_0007,train,Assault,Assault001_x264,seg_0007,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0007
train_Assault_Assault001_x264_seg_0008,train,Assault,Assault001_x264,seg_0008,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0008
train_Assault_Assault001_x264_seg_0009,train,Assault,Assault001_x264,seg_0009,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0009
train_Assault_Assault001_x264_seg_0010,train,Assault,Assault001_x264,seg_0010,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0010
train_Assault_Assault001_x264_seg_0011,train,Assault,Assault001_x264,seg_0011,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0011
train_Assault_Assault001_x264_seg_0012,train,Assault,Assault001_x264,seg_0012,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0012
train_Assault_Assault001_x264_seg_0013,train,Assault,Assault001_x264,seg_0013,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0013
train_Assault_Assault001_x264_seg_0014,train,Assault,Assault001_x264,seg_0014,16,/content/data/segments_16/train/Assault/Assault001_x264/seg_0014
train_Assault_Assault002_x264_seg_0000,train,Assault,Assault002_x264,seg_0000,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0000
train_Assault_Assault002_x264_seg_0001,train,Assault,Assault002_x264,seg_0001,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0001
train_Assault_Assault002_x264_seg_0002,train,Assault,Assault002_x264,seg_0002,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0002
train_Assault_Assault002_x264_seg_0003,train,Assault,Assault002_x264,seg_0003,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0003
train_Assault_Assault002_x264_seg_0004,train,Assault,Assault002_x264,seg_0004,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0004
train_Assault_Assault002_x264_seg_0005,train,Assault,Assault002_x264,seg_0005,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0005
train_Assault_Assault002_x264_seg_0006,train,Assault,Assault002_x264,seg_0006,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0006
train_Assault_Assault002_x264_seg_0007,train,Assault,Assault002_x264,seg_0007,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0007
train_Assault_Assault002_x264_seg_0008,train,Assault,Assault002_x264,seg_0008,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0008
train_Assault_Assault002_x264_seg_0009,train,Assault,Assault002_x264,seg_0009,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0009
train_Assault_Assault002_x264_seg_0010,train,Assault,Assault002_x264,seg_0010,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0010
train_Assault_Assault002_x264_seg_0011,train,Assault,Assault002_x264,seg_0011,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0011
train_Assault_Assault002_x264_seg_0012,train,Assault,Assault002_x264,seg_0012,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0012
train_Assault_Assault002_x264_seg_0013,train,Assault,Assault002_x264,seg_0013,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0013
train_Assault_Assault002_x264_seg_0014,train,Assault,Assault002_x264,seg_0014,16,/content/data/segments_16/train/Assault/Assault002_x264/seg_0014
train_Burglary_Burglary001_x264_seg_0000,train,Burglary,Burglary001_x264,seg_0000,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0000
train_Burglary_Burglary001_x264_seg_0001,train,Burglary,Burglary001_x264,seg_0001,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0001
train_Burglary_Burglary001_x264_seg_0002,train,Burglary,Burglary001_x264,seg_0002,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0002
train_Burglary_Burglary001_x264_seg_0003,train,Burglary,Burglary001_x264,seg_0003,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0003
train_Burglary_Burglary001_x264_seg_0004,train,Burglary,Burglary001_x264,seg_0004,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0004
train_Burglary_Burglary001_x264_seg_0005,train,Burglary,Burglary001_x264,seg_0005,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0005
train_Burglary_Burglary001_x264_seg_0006,train,Burglary,Burglary001_x264,seg_0006,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0006
train_Burglary_Burglary001_x264_seg_0007,train,Burglary,Burglary001_x264,seg_0007,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0007
train_Burglary_Burglary001_x264_seg_0008,train,Burglary,Burglary001_x264,seg_0008,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0008
train_Burglary_Burglary001_x264_seg_0009,train,Burglary,Burglary001_x264,seg_0009,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0009
train_Burglary_Burglary001_x264_seg_0010,train,Burglary,Burglary001_x264,seg_0010,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0010
train_Burglary_Burglary001_x264_seg_0011,train,Burglary,Burglary001_x264,seg_0011,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0011
train_Burglary_Burglary001_x264_seg_0012,train,Burglary,Burglary001_x264,seg_0012,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0012
train_Burglary_Burglary001_x264_seg_0013,train,Burglary,Burglary001_x264,seg_0013,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0013
train_Burglary_Burglary001_x264_seg_0014,train,Burglary,Burglary001_x264,seg_0014,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0014
train_Burglary_Burglary001_x264_seg_0015,train,Burglary,Burglary001_x264,seg_0015,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0015
train_Burglary_Burglary001_x264_seg_0016,train,Burglary,Burglary001_x264,seg_0016,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0016
train_Burglary_Burglary001_x264_seg_0017,train,Burglary,Burglary001_x264,seg_0017,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0017
train_Burglary_Burglary001_x264_seg_0018,train,Burglary,Burglary001_x264,seg_0018,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0018
train_Burglary_Burglary001_x264_seg_0019,train,Burglary,Burglary001_x264,seg_0019,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0019
train_Burglary_Burglary001_x264_seg_0020,train,Burglary,Burglary001_x264,seg_0020,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0020
train_Burglary_Burglary001_x264_seg_0021,train,Burglary,Burglary001_x264,seg_0021,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0021
train_Burglary_Burglary001_x264_seg_0022,train,Burglary,Burglary001_x264,seg_0022,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0022
train_Burglary_Burglary001_x264_seg_0023,train,Burglary,Burglary001_x264,seg_0023,16,/content/data/segments_16/train/Burglary/Burglary001_x264/seg_0023
train_Burglary_Burglary002_x264_seg_0000,train,Burglary,Burglary002_x264,seg_0000,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0000
train_Burglary_Burglary002_x264_seg_0001,train,Burglary,Burglary002_x264,seg_0001,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0001
train_Burglary_Burglary002_x264_seg_0002,train,Burglary,Burglary002_x264,seg_0002,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0002
train_Burglary_Burglary002_x264_seg_0003,train,Burglary,Burglary002_x264,seg_0003,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0003
train_Burglary_Burglary002_x264_seg_0004,train,Burglary,Burglary002_x264,seg_0004,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0004
train_Burglary_Burglary002_x264_seg_0005,train,Burglary,Burglary002_x264,seg_0005,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0005
train_Burglary_Burglary002_x264_seg_0006,train,Burglary,Burglary002_x264,seg_0006,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0006
train_Burglary_Burglary002_x264_seg_0007,train,Burglary,Burglary002_x264,seg_0007,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0007
train_Burglary_Burglary002_x264_seg_0008,train,Burglary,Burglary002_x264,seg_0008,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0008
train_Burglary_Burglary002_x264_seg_0009,train,Burglary,Burglary002_x264,seg_0009,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0009
train_Burglary_Burglary002_x264_seg_0010,train,Burglary,Burglary002_x264,seg_0010,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0010
train_Burglary_Burglary002_x264_seg_0011,train,Burglary,Burglary002_x264,seg_0011,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0011
train_Burglary_Burglary002_x264_seg_0012,train,Burglary,Burglary002_x264,seg_0012,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0012
train_Burglary_Burglary002_x264_seg_0013,train,Burglary,Burglary002_x264,seg_0013,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0013
train_Burglary_Burglary002_x264_seg_0014,train,Burglary,Burglary002_x264,seg_0014,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0014
train_Burglary_Burglary002_x264_seg_0015,train,Burglary,Burglary002_x264,seg_0015,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0015
train_Burglary_Burglary002_x264_seg_0016,train,Burglary,Burglary002_x264,seg_0016,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0016
train_Burglary_Burglary002_x264_seg_0017,train,Burglary,Burglary002_x264,seg_0017,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0017
train_Burglary_Burglary002_x264_seg_0018,train,Burglary,Burglary002_x264,seg_0018,16,/content/data/segments_16/train/Burglary/Burglary002_x264/seg_0018
train_Explosion_Explosion001_x264_seg_0000,train,Explosion,Explosion001_x264,seg_0000,16,/content/data/segments_16/train/Explosion/Explosion001_x264/seg_0000
train_Explosion_Explosion001_x264_seg_0001,train,Explosion,Explosion001_x264,seg_0001,16,/content/data/segments_16/train/Explosion/Explosion001_x264/seg_0001
train_Explosion_Explosion001_x264_seg_0002,train,Explosion,Explosion001_x264,seg_0002,16,/content/data/segments_16/train/Explosion/Explosion001_x264/seg_0002
train_Explosion_Explosion001_x264_seg_0003,train,Explosion,Explosion001_x264,seg_0003,16,/content/data/segments_16/train/Explosion/Explosion001_x264/seg_0003
train_Explosion_Explosion003_x264_seg_0000,train,Explosion,Explosion003_x264,seg_0000,16,/content/data/segments_16/train/Explosion/Explosion003_x264/seg_0000
train_Explosion_Explosion003_x264_seg_0001,train,Explosion,Explosion003_x264,seg_0001,16,/content/data/segments_16/train/Explosion/Explosion003_x264/seg_0001
train_Explosion_Explosion003_x264_seg_0002,train,Explosion,Explosion003_x264,seg_0002,16,/content/data/segments_16/train/Explosion/Explosion003_x264/seg_0002
